 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
53	1.123	6.340	4.115	28.717	7.362	2.894	7.321	12.487	25.491	7.522	3.686	4.970	4.476	4.506	38.333	27.906	33.310	13.127	7.661	14.568	5.341	5.641	5.215	9.038	11.729	4.901
54	1.144	6.270	3.865	18.431	8.115	3.584	7.061	13.441	25.570	6.920	3.749	5.288	3.162	4.296	48.625	23.525	29.676	18.096	8.465	12.718	4.999	5.298	4.947	9.097	11.749	4.521
55	1.165	6.006	3.638	9.593	8.479	4.637	6.904	14.214	23.042	6.027	4.078	5.798	2.119	3.999	45.985	15.684	26.523	21.861	8.473	11.248	4.445	5.034	5.341	8.670	10.774	4.282
56	1.186	5.638	3.447	4.699	8.641	5.980	6.740	14.713	18.706	5.104	4.786	6.389	1.388	3.607	31.621	8.431	23.760	22.018	7.773	10.698	4.129	4.941	5.846	7.998	8.823	4.280
57	1.208	5.298	3.397	2.582	9.045	7.425	6.622	15.163	13.935	4.394	5.813	6.872	0.912	3.191	16.824	3.883	21.196	17.744	6.732	11.089	4.195	5.176	5.839	7.408	6.573	4.497
58	1.229	5.221	3.624	1.726	9.984	8.590	6.571	15.827	9.877	4.117	7.179	6.988	0.609	2.893	7.701	1.677	18.849	11.626	5.693	12.190	4.481	5.910	5.271	7.354	4.610	4.798
59	1.250	5.602	4.194	1.288	11.921	9.075	6.738	16.741	7.192	4.320	8.339	6.613	0.418	2.769	3.607	0.756	16.859	6.232	4.925	13.749	4.739	7.327	4.578	8.279	3.093	5.144
60	1.271	6.508	5.107	0.975	14.850	8.804	7.262	17.644	5.822	4.895	8.861	5.961	0.302	2.839	1.965	0.388	15.489	2.878	4.630	15.643	4.833	9.541	4.091	10.701	1.951	5.588
61	1.292	7.906	6.338	0.714	17.777	8.145	8.528	18.173	5.441	5.419	8.269	5.420	0.230	3.143	1.217	0.239	14.855	1.270	4.832	17.832	4.854	12.226	3.855	14.259	1.144	6.130
62	1.314	9.708	7.841	0.524	18.307	7.671	11.232	17.923	5.618	5.557	6.953	5.171	0.192	3.673	0.786	0.173	14.917	0.631	5.536	20.000	5.042	14.303	3.790	17.587	0.649	6.482
63	1.335	11.789	9.576	0.395	15.016	7.705	16.503	17.011	5.747	5.308	5.524	5.168	0.183	4.277	0.488	0.139	15.637	0.382	6.743	21.545	5.662	14.290	3.819	17.830	0.385	6.224
64	1.356	13.985	11.533	0.297	9.578	8.078	25.517	15.620	5.327	4.914	4.454	5.297	0.193	4.688	0.282	0.119	16.812	0.274	8.290	22.185	6.928	11.599	3.844	13.997	0.250	5.421
