 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
58	1.229	6.479	3.702	1.679	9.990	7.521	7.384	20.702	10.340	4.502	18.004	7.471	0.527	3.030	7.531	1.716	19.903	12.777	5.560	16.882	4.828	6.011	5.452	7.233	4.279	3.648
59	1.250	7.475	3.662	1.222	11.943	7.340	7.617	20.612	7.538	4.969	22.576	6.473	0.264	2.749	3.581	0.817	17.850	7.564	4.914	19.294	5.066	7.414	4.677	8.160	3.914	4.740
60	1.271	9.028	3.984	0.896	14.844	7.052	8.386	19.899	6.096	5.808	25.825	4.888	0.145	2.604	1.990	0.488	16.398	3.857	4.695	22.111	5.094	9.718	4.013	10.409	3.106	5.810
61	1.292	11.047	4.711	0.635	17.622	6.810	10.082	18.192	5.677	6.361	25.411	3.590	0.129	2.655	1.277	0.362	15.812	1.832	4.971	25.070	5.011	12.590	3.550	13.993	1.990	6.370
62	1.314	13.398	5.964	0.454	18.053	6.689	13.350	15.533	5.825	6.232	21.847	2.975	0.192	2.983	0.849	0.277	16.169	0.927	5.788	27.543	5.060	14.925	3.289	17.164	1.046	6.141
63	1.335	15.821	7.990	0.340	14.775	6.648	19.512	12.609	5.935	5.422	16.847	3.006	0.293	3.640	0.540	0.181	17.358	0.555	7.184	29.127	5.534	15.107	3.239	17.469	0.534	5.233
64	1.356	17.924	10.988	0.253	9.390	6.616	30.507	9.944	5.466	4.483	12.485	3.524	0.357	4.358	0.328	0.089	19.059	0.392	8.988	28.947	6.736	12.444	3.323	13.852	0.329	4.073
65	1.377	19.512	14.516	0.174	4.929	6.509	47.955	7.895	4.357	3.981	9.530	4.269	0.347	4.749	0.189	0.037	20.734	0.280	10.524	26.997	8.765	8.184	3.281	8.399	0.246	3.077
66	1.398	20.934	17.051	0.104	2.385	6.424	70.442	6.455	2.962	4.034	7.876	4.814	0.296	4.618	0.100	0.021	21.891	0.194	10.937	24.120	11.041	3.135	2.967	4.057	0.175	2.354
67	1.420	22.978	17.031	0.056	1.256	6.598	91.768	5.020	1.746	4.660	7.020	4.791	0.274	4.164	0.046	0.024	22.387	0.126	9.951	21.200	12.289	0.141	2.578	1.633	0.100	1.943
68	1.441	26.360	14.503	0.037	0.775	7.291	103.003	2.974	0.930	5.805	6.408	4.286	0.274	3.932	0.013	0.036	20.716	0.081	7.354	17.397	11.419	0.000	2.360	0.483	0.041	1.858
69	1.462	31.004	11.051	0.039	0.512	8.763	98.132	1.297	0.503	7.551	5.609	3.660	0.256	4.355	0.002	0.034	16.994	0.053	5.117	13.635	8.514	0.000	2.390	0.140	0.010	2.126
70	1.483	35.203	8.071	0.033	0.350	11.171	78.592	0.768	0.317	10.136	4.373	3.187	0.224	5.677	0.002	0.010	12.447	0.039	3.706	10.412	4.983	0.000	0.085	0.048	0.002	2.739
71	1.504	35.758	2.891	0.002	0.225	14.263	53.338	0.021	0.228	14.046	2.974	2.992	0.193	7.562	3.970E-4	0.000	6.003	0.032	2.475	7.733	2.269	0.000	0.000	0.013	2.596E-4	3.492
