 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
52	1.551	0.000	3.561	0.000	5.123	6.384	1.452	5.111	5.260	1.579	6.276	0.362	4.887	2.051	8.470	7.398	1.803	0.600	0.329	7.606	2.246E-6	0.000
53	1.580	0.000	3.575	0.000	4.819	6.238	1.608	5.346	5.023	1.176	6.004	0.307	4.672	1.846	8.404	7.602	1.278	0.445	0.140	6.122	6.677E-7	0.000
54	1.610	0.000	3.616	0.000	4.876	6.434	1.607	5.398	4.847	0.822	5.536	0.320	4.166	1.106	8.087	6.421	1.048	0.295	0.074	5.229	4.046E-7	0.000
55	1.640	0.000	3.478	0.000	4.961	6.720	1.332	5.091	4.903	0.686	5.403	0.345	3.895	0.592	7.481	4.816	0.894	0.213	0.047	4.615	0.000	0.000
56	1.670	0.000	3.138	0.000	4.582	6.926	0.978	4.460	5.277	0.701	5.624	0.337	3.932	0.352	6.840	4.219	0.715	0.216	0.020	3.929	5.377E-8	0.000
57	1.700	0.000	2.776	0.000	3.825	7.392	0.679	4.013	5.831	0.669	6.043	0.328	4.183	0.181	6.367	5.118	0.510	0.250	0.003	3.092	8.603E-7	0.000
58	1.729	0.000	2.383	0.000	3.191	8.293	0.517	4.066	5.531	0.491	6.582	0.338	4.581	0.067	6.115	7.534	0.338	0.220	2.630E-4	2.353	3.573E-7	0.000
59	1.759	0.000	2.053	0.000	2.819	9.126	0.492	4.281	3.747	0.246	7.031	0.359	4.915	0.013	6.079	9.992	0.206	0.104	0.002	1.973	2.693E-7	0.000
60	1.789	0.000	1.791	0.000	2.188	9.292	0.495	3.879	3.645	0.129	7.132	0.363	4.898	0.001	5.955	11.100	0.125	0.030	0.007	1.964	0.000	0.000
61	1.819	0.000	1.572	0.000	2.444	8.691	0.516	3.448	4.085	0.125	6.909	0.301	4.676	5.273E-5	5.351	11.610	0.067	0.002	0.006	2.195	0.000	0.000
62	1.849	0.000	1.337	0.000	2.858	7.784	0.485	3.275	4.077	0.170	6.564	0.212	4.787	6.366E-7	4.075	12.890	0.037	0.003	0.006	2.486	0.000	0.000
63	1.879	0.000	0.983	0.000	3.086	7.172	0.400	3.199	3.440	0.147	6.288	0.158	5.286	4.465E-8	2.732	15.348	0.021	0.011	0.006	2.669	0.000	0.000
64	1.908	0.000	0.691	0.000	3.051	6.896	0.312	3.166	1.794	0.052	6.223	0.109	6.070	0.000	1.782	17.878	0.007	0.008	4.972E-4	2.702	0.000	0.000
65	1.938	0.000	0.516	0.000	2.746	6.545	0.229	3.132	0.410	0.018	6.508	0.052	6.768	0.000	1.318	18.832	8.343E-4	9.278E-4	9.521E-8	2.736	0.000	0.000
66	1.968	0.000	0.455	0.000	2.377	6.106	0.140	3.424	0.372	0.027	7.077	0.022	6.996	0.000	1.167	17.882	9.633E-5	2.851E-5	0.000	2.648	0.000	0.000
67	1.998	0.000	0.393	0.000	1.944	5.830	0.020	4.048	0.518	0.024	7.314	0.011	6.898	0.000	1.115	16.170	3.090E-6	2.343E-7	0.000	2.209	0.000	0.000
68	2.028	0.000	0.316	0.000	1.611	5.699	0.000	4.810	0.000	0.030	0.000	0.003	6.894	0.000	1.070	14.938	0.000	0.000	0.000	1.697	0.000	0.000
69	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14.823	0.000	0.000	0.000	0.000	0.000	0.000
