 	x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
53	1.580	0.000	3.727	0.000	5.317	4.728	0.281	2.345	3.442	0.767	6.275	0.122	6.632	2.114	11.544	6.137	2.235	0.795	0.047	5.502	0.000	0.000
54	1.610	0.000	3.804	0.000	5.229	4.937	0.198	2.023	3.240	0.558	6.094	0.134	6.177	1.761	10.958	4.638	1.776	0.395	0.032	5.385	0.000	0.000
55	1.640	0.000	3.790	0.000	5.233	5.108	0.156	1.692	3.220	0.525	5.809	0.156	5.880	1.637	10.594	3.167	1.511	0.253	0.017	5.052	0.000	0.000
56	1.670	0.000	3.468	0.000	4.837	5.398	0.156	1.668	3.429	0.587	5.564	0.160	5.860	1.387	10.492	2.678	1.212	0.243	0.003	4.426	0.000	0.000
57	1.700	0.000	3.014	0.000	4.085	6.246	0.164	1.970	3.785	0.581	5.401	0.152	6.146	0.819	10.401	3.335	0.883	0.269	1.975E-4	3.803	0.000	0.000
58	1.729	0.000	2.552	0.000	3.487	7.435	0.156	2.280	3.544	0.348	5.598	0.164	6.826	0.319	9.875	5.016	0.677	0.250	1.135E-4	3.434	0.000	0.000
59	1.759	0.000	2.202	0.000	3.178	8.093	0.136	2.000	3.370	0.143	6.423	0.191	7.546	0.104	9.139	6.971	0.687	0.143	0.002	3.147	0.000	0.000
60	1.789	0.000	1.894	0.000	3.317	7.794	0.127	1.580	3.579	0.081	7.657	0.178	7.924	0.045	8.529	8.474	0.841	0.057	0.006	2.840	0.000	0.000
61	1.819	0.000	1.694	0.000	3.936	7.010	0.173	1.451	3.982	0.124	8.612	0.122	7.872	0.027	7.976	9.736	0.873	0.012	0.006	2.669	0.000	0.000
62	1.849	0.000	1.486	0.000	4.507	6.469	0.204	1.344	4.216	0.169	8.977	0.056	7.683	0.010	7.207	11.712	0.723	0.002	0.006	2.679	0.000	0.000
63	1.879	0.000	1.192	0.000	4.655	6.405	0.174	1.294	3.579	0.095	9.108	0.015	7.823	0.004	6.472	14.564	0.656	0.010	0.005	2.925	0.000	0.000
64	1.908	0.000	0.873	0.000	4.356	6.429	0.113	1.210	2.219	0.019	9.280	3.805E-4	8.198	0.013	5.931	16.653	0.748	0.011	5.866E-4	3.369	0.000	0.000
65	1.938	0.000	0.633	0.000	3.815	6.195	0.040	1.296	0.497	0.003	9.417	0.000	8.482	0.014	5.397	16.400	0.847	0.009	1.253E-7	3.644	0.000	0.000
66	1.968	0.000	0.543	0.000	3.408	5.942	0.001	1.533	0.328	2.824E-4	9.399	0.000	8.237	0.003	4.699	14.256	0.712	0.007	0.000	3.345	0.000	0.000
67	1.998	0.000	0.476	0.000	3.139	5.870	0.000	1.822	0.524	7.543E-4	8.933	0.000	7.966	1.224E-4	3.823	12.119	0.416	9.136E-4	0.000	2.739	0.000	0.000
68	2.028	0.000	0.405	0.000	2.238	5.961	0.000	0.000	0.893	0.000	0.000	0.000	7.941	0.000	3.008	11.206	0.165	3.649E-5	0.000	0.000	0.000	0.000
